iter	Logloss
0	0.6842621594
1	0.6738324421
2	0.6635847883
3	0.6543264994
4	0.6459317835
5	0.6369343083
6	0.6283548495
7	0.6182212644
8	0.6093556474
9	0.5997230344
10	0.5917927812
11	0.5834671393
12	0.5756706424
13	0.5679060773
14	0.5608263341
15	0.5529980171
16	0.5463746606
17	0.5412913997
18	0.5332482315
19	0.5261605239
20	0.5204873434
21	0.5162819839
22	0.5090662142
23	0.5022986063
24	0.4961982913
25	0.4902718521
26	0.4839693395
27	0.4784433504
28	0.4723494367
29	0.4669959092
30	0.4612756497
31	0.4555921229
32	0.4498479704
33	0.4462392295
34	0.4409292826
35	0.436472823
36	0.4321667555
37	0.4276664176
38	0.4240521315
39	0.4189255877
40	0.4153095152
41	0.4107179223
42	0.4063629523
43	0.402727676
44	0.3989354203
45	0.3957287672
46	0.3919249
47	0.3877111668
48	0.3854274843
49	0.3829892787
50	0.3790331957
51	0.3748323766
52	0.3719646919
53	0.3688484378
54	0.365051865
55	0.3637658468
56	0.3611260763
57	0.3576265661
58	0.3540081489
59	0.3512200332
60	0.3483405881
61	0.3456002584
62	0.3431096147
63	0.3404837632
64	0.3379204355
65	0.3351383116
66	0.3329474472
67	0.330501054
68	0.3277267084
69	0.3256339841
70	0.3239332246
71	0.3213093827
72	0.3190815623
73	0.3165178997
74	0.3137725086
75	0.3114338386
76	0.3093889004
77	0.306672929
78	0.3043918517
79	0.3022557701
80	0.3006154874
81	0.2979040006
82	0.2957425001
83	0.2939660049
84	0.2919513237
85	0.2902042668
86	0.2889474636
87	0.2871958291
88	0.2843513489
89	0.2838977721
90	0.2819841711
91	0.2806433329
92	0.2789989192
93	0.2771456276
94	0.276104513
95	0.2742042542
96	0.2721599114
97	0.2709703027
98	0.2695543243
99	0.2684990487
100	0.267119524
101	0.2659156427
102	0.2643041843
103	0.2626121335
104	0.2608963943
105	0.2597265104
106	0.2580039606
107	0.256643379
108	0.2550828887
109	0.2537521921
110	0.2516808487
111	0.2500769638
112	0.2490249076
113	0.2474563226
114	0.2462468775
115	0.2456195738
116	0.244660652
117	0.2435271659
118	0.2423080444
119	0.2408507929
120	0.2395482505
121	0.2377744349
122	0.2367019281
123	0.235928475
124	0.2347556137
125	0.2340031321
126	0.2323691577
127	0.2308538669
128	0.2294249372
129	0.2281579925
130	0.2268396703
131	0.2256168086
132	0.2247296403
133	0.2234260001
134	0.2220821846
135	0.2212057904
136	0.220117448
137	0.2189220149
138	0.217707192
139	0.216979292
140	0.2161241113
141	0.2152691539
142	0.2139394807
143	0.2129070747
144	0.2114655658
145	0.2103548189
146	0.2094521313
147	0.2083992563
148	0.2071388617
149	0.2061933936
150	0.2051629229
151	0.2044190942
152	0.2031831509
153	0.2024307623
154	0.2017457916
155	0.2010328339
156	0.2002961322
157	0.1996548909
158	0.1988463611
159	0.1980236519
160	0.1968466038
161	0.1958915524
162	0.1954058019
163	0.1946181879
164	0.1930662946
165	0.1920913696
166	0.1913648838
167	0.1906827043
168	0.1896326205
169	0.1888378236
170	0.1884701054
171	0.1877075567
172	0.1870326531
173	0.1861960993
174	0.1851842741
175	0.1841163449
176	0.1832789351
177	0.1826516872
178	0.1820499885
179	0.1813482889
180	0.1803001404
181	0.17938091
182	0.1788678053
183	0.1782692886
184	0.1775897328
185	0.1765734417
186	0.1757927499
187	0.1751988667
188	0.1744334523
189	0.1739015719
190	0.1734125649
191	0.1725021548
192	0.1717394573
193	0.1709992385
194	0.1703516146
195	0.1700756724
196	0.1694878555
197	0.1686653323
198	0.1682445991
199	0.1677592208
200	0.1673873529
201	0.1669964302
202	0.1663988439
203	0.1659139494
204	0.1653209035
205	0.1645356713
206	0.164043166
207	0.1633251283
208	0.162856423
209	0.1619901518
210	0.1615809743
211	0.161191075
212	0.1604889846
213	0.1600466658
214	0.1593510698
215	0.1591217041
216	0.1586502075
217	0.1581029194
218	0.1577053907
219	0.1570804503
220	0.1567344666
221	0.15607832
222	0.1554894703
223	0.1551053582
224	0.1547165754
225	0.1544880937
226	0.1539308688
227	0.1535668443
228	0.1531717626
229	0.1526138771
230	0.1521021401
231	0.1515291447
232	0.1510516841
233	0.150727379
234	0.1504176442
235	0.1498784693
236	0.1493734778
237	0.1487123908
238	0.1481385394
239	0.1478121688
240	0.1474952884
241	0.1467954961
242	0.1460532212
243	0.1454244567
244	0.1450656147
245	0.1445181963
246	0.1441350611
247	0.1437324524
248	0.1433212839
249	0.1427298755
250	0.1423579798
251	0.1423272668
252	0.1419105344
253	0.1414263562
254	0.1410489803
255	0.1405712686
256	0.1401809506
257	0.1400201751
258	0.1396082436
259	0.1392362455
260	0.1387584965
261	0.1381968428
262	0.1377858604
263	0.1374629881
264	0.1370160452
265	0.1365822862
266	0.1362264308
267	0.1359055682
268	0.1354547268
269	0.1349717489
270	0.134603398
271	0.1343499719
272	0.1337626574
273	0.1331671738
274	0.1327368108
275	0.132561772
276	0.1322814941
277	0.131855867
278	0.131586968
279	0.1312793546
280	0.130982078
281	0.1306717477
282	0.1302892731
283	0.1298032063
284	0.1295722031
285	0.129027669
286	0.1286926176
287	0.1284587581
288	0.1282209815
289	0.1280295209
290	0.1277523785
291	0.1274960867
292	0.1274192531
293	0.1268023142
294	0.1263548223
295	0.1260561315
296	0.1258758545
297	0.1255465438
298	0.1255375095
299	0.1251547837
300	0.1245400406
301	0.1243026268
302	0.1241063932
303	0.1239122716
304	0.1233797678
305	0.1231401955
306	0.1228491248
307	0.1223335545
308	0.1219636312
309	0.1215801518
310	0.1209801837
311	0.1207711941
312	0.1202330333
313	0.1199562259
314	0.1197071168
315	0.1192857975
316	0.1190402333
317	0.1187464737
318	0.1184164745
319	0.1182898173
320	0.1178430883
321	0.1175980917
322	0.1173326167
323	0.1169169077
324	0.1166248228
325	0.1164666897
326	0.1162160827
327	0.1158380276
328	0.1156398308
329	0.1152663719
330	0.1147350404
331	0.1144726265
332	0.114245438
333	0.113986113
334	0.1137971552
335	0.1136502894
336	0.1134316421
337	0.1130941996
338	0.1127522724
339	0.1125496376
340	0.1123751943
341	0.1121641392
342	0.1119454175
343	0.1115613612
344	0.1113521948
345	0.1110758712
346	0.1106047561
347	0.1104034052
348	0.1102932442
349	0.1099697485
350	0.1096771612
351	0.1093139462
352	0.1091481465
353	0.1089524432
354	0.108821413
355	0.1085639116
356	0.1084960565
357	0.1082186536
358	0.1079427393
359	0.1075436476
360	0.1071011055
361	0.1069347009
362	0.1066399551
363	0.1062815969
364	0.1060640289
365	0.1058929443
366	0.1056833035
367	0.1056320377
368	0.1054465875
369	0.1052469858
370	0.1050705886
371	0.104771749
372	0.1044319525
373	0.1039360326
374	0.103745828
375	0.103553772
376	0.1033763048
377	0.1032797837
378	0.1030797726
379	0.1029324043
380	0.1027371662
381	0.102456693
382	0.1021363421
383	0.1018728396
384	0.1015804663
385	0.1013596791
386	0.1013253096
387	0.1010159841
388	0.1007000993
389	0.1003525897
390	0.1000224416
391	0.09982435645
392	0.09964852682
393	0.09953729583
394	0.09934822641
395	0.09903660286
396	0.09879520695
397	0.09868735337
398	0.09850264759
399	0.09820710159
400	0.09810257888
401	0.09789242628
402	0.09762014994
403	0.09739376161
404	0.09723428866
405	0.09697249808
406	0.0969329927
407	0.09669168984
408	0.09634018875
409	0.09614873747
410	0.09602649037
411	0.09584878131
412	0.0956880709
413	0.09556322796
414	0.09535764369
415	0.0952235059
416	0.09479999077
417	0.09458033864
418	0.09432404681
419	0.09413262344
420	0.09405469197
421	0.09375702463
422	0.09352256961
423	0.09336223137
424	0.09318252191
425	0.09292275033
426	0.09266993825
427	0.09257123994
428	0.09244163327
429	0.09231613904
430	0.09209860825
431	0.09176212404
432	0.09162541831
433	0.09138819997
434	0.09120454556
435	0.09108768556
436	0.09082905839
437	0.0904721609
438	0.09027786255
439	0.09011595191
440	0.08998822468
441	0.08985268197
442	0.08962294416
443	0.08949769183
444	0.08946417832
445	0.08922955583
446	0.08908451359
447	0.08879227987
448	0.08874939709
449	0.08861692475
450	0.08841153587
451	0.08821699561
452	0.08795029245
453	0.08780854388
454	0.08741537885
455	0.08719243305
456	0.08702016691
457	0.08674767657
458	0.08658339338
459	0.08642100823
460	0.08626471729
461	0.08614474041
462	0.08589881339
463	0.08572445381
464	0.08563943258
465	0.08546377042
466	0.08536170401
467	0.08508382658
468	0.08492912665
469	0.08484101644
470	0.08450623489
471	0.08438763502
472	0.08428359613
473	0.08404022775
474	0.08374506322
475	0.08361616367
476	0.08344897759
477	0.08321637409
478	0.08312292332
479	0.08282506989
480	0.08269484915
481	0.08241926984
482	0.08213101829
483	0.08187879237
484	0.08171802614
485	0.08155416163
486	0.0814450799
487	0.08120901526
488	0.08112880428
489	0.08102060644
490	0.08077587965
491	0.08066931934
492	0.08052397007
493	0.08037137287
494	0.08027669395
495	0.08004795168
496	0.07985296482
497	0.07960358596
498	0.07932962557
499	0.07913087984
500	0.0789909921
501	0.07882913729
502	0.07867186011
503	0.07849795644
504	0.07837879832
505	0.07828185849
506	0.07806390902
507	0.07780985018
508	0.07758848609
509	0.07732745845
510	0.0771599002
511	0.07701625359
512	0.07690823718
513	0.07676418584
514	0.07672956513
515	0.0764851733
516	0.07634446214
517	0.0761966054
518	0.0760370208
519	0.07589841703
520	0.07573657152
521	0.07558894739
522	0.07546939385
523	0.07532339329
524	0.07506817143
525	0.07494586386
526	0.07474635985
527	0.07466733049
528	0.07450969975
529	0.07435734912
530	0.07415531438
531	0.07400295909
532	0.07379966829
533	0.07360325325
534	0.07347466539
535	0.07323361839
536	0.07316200908
537	0.07299627909
538	0.07297053453
539	0.07274849124
540	0.07264093073
541	0.07242064127
542	0.07228965294
543	0.07210123481
544	0.07195941181
545	0.07177235208
546	0.07165977664
547	0.07142929915
548	0.07126529973
549	0.07124686357
550	0.07100237404
551	0.07081908249
552	0.07055868288
553	0.07035177743
554	0.07021769082
555	0.07010947902
556	0.06997301986
557	0.06991088681
558	0.06980994155
559	0.06973107501
560	0.0695631725
561	0.06947852344
562	0.06931101171
563	0.06923938844
564	0.06916509024
565	0.06908674938
566	0.06890971486
567	0.06878720725
568	0.06865613984
569	0.06851297704
570	0.06834074811
571	0.06826993431
572	0.06812165423
573	0.06786172448
574	0.06769645505
575	0.06759913375
576	0.06746893162
577	0.06739623837
578	0.06716079712
579	0.06697189982
580	0.06680562554
581	0.06666884539
582	0.06659958072
583	0.06648804269
584	0.06640168632
585	0.06619307355
586	0.06607491098
587	0.06603446588
588	0.06595348265
589	0.06583505956
590	0.06581674901
591	0.0657714332
592	0.06567060889
593	0.06557802805
594	0.06541177703
595	0.06534514078
596	0.06520803033
597	0.06513697927
598	0.06494064331
599	0.06486956434
600	0.06480618919
601	0.06474743355
602	0.0646828349
603	0.06459965124
604	0.06451957051
605	0.06435571996
606	0.06419088317
607	0.06393198153
608	0.06382090406
609	0.06373114702
610	0.06353675563
611	0.06347412947
612	0.0633980123
613	0.06331648943
614	0.06317053539
615	0.06298175905
616	0.06283279047
617	0.06262512207
618	0.06248462956
619	0.06237412895
620	0.06220226753
621	0.06199849292
622	0.06188812256
623	0.06170757573
624	0.06157124217
625	0.06136526247
626	0.06131063322
627	0.06114862023
628	0.0610702096
629	0.06102859683
630	0.06084533319
631	0.06069401066
632	0.060504169
633	0.06042229257
634	0.06028605205
635	0.0601937829
636	0.06011548856
637	0.06001836265
638	0.0598876767
639	0.05977491984
640	0.05967270921
641	0.05958113321
642	0.05951421784
643	0.05946335211
644	0.05932338063
645	0.05922743634
646	0.05913470664
647	0.05900015947
648	0.05890026093
649	0.0587523251
650	0.05868992689
651	0.05856952202
652	0.05851446943
653	0.05835524303
654	0.05827431097
655	0.0580214012
656	0.05791938596
657	0.0578125093
658	0.05771689996
659	0.05756583795
660	0.05739045492
661	0.05715799099
662	0.05708650263
663	0.05689623763
664	0.05683672835
665	0.05675753151
666	0.05668091192
667	0.05646834025
668	0.05638791526
669	0.05626222564
670	0.05610240843
671	0.05601299565
672	0.05583146723
673	0.05575485695
674	0.0556887836
675	0.05561665791
676	0.05554299703
677	0.05542853286
678	0.05534281382
679	0.05527001358
680	0.05513025609
681	0.05499508555
682	0.05490548669
683	0.05482524779
684	0.05465809427
685	0.05453711254
686	0.05450385489
687	0.05442483483
688	0.05436818193
689	0.05428886414
690	0.05416931059
691	0.05402341703
692	0.05391481911
693	0.05375794201
694	0.05362683273
695	0.05352998129
696	0.05342281621
697	0.05335640791
698	0.0533213313
699	0.05326933977
700	0.05319325517
701	0.05311752878
702	0.05300797718
703	0.05292990615
704	0.05277440141
705	0.05269723287
706	0.05256166226
707	0.05242740817
708	0.05224881986
709	0.0521993358
710	0.05214961447
711	0.05204062113
712	0.05182707252
713	0.05175942677
714	0.05168070909
715	0.05157586074
716	0.05152241777
717	0.05145277628
718	0.05139836567
719	0.05128329207
720	0.0511316346
721	0.05102164571
722	0.05091063337
723	0.05079350355
724	0.05078994937
725	0.05067028418
726	0.05060147541
727	0.05053460656
728	0.05039702625
729	0.05032803605
730	0.05026550293
731	0.05016917717
732	0.05004210123
733	0.0499345919
734	0.04978997766
735	0.04973120806
736	0.0496581473
737	0.04959793556
738	0.04943554576
739	0.04931484315
740	0.0491962805
741	0.04909841956
742	0.04906576203
743	0.04902364219
744	0.0489443337
745	0.04881228005
746	0.04873200393
747	0.0486802357
748	0.04859919664
749	0.04855252243
750	0.04840408883
751	0.04834997131
752	0.04829520714
753	0.04818890269
754	0.04816223703
755	0.04808596169
756	0.04794439455
757	0.04784778967
758	0.04775200821
759	0.04769293622
760	0.04756186416
761	0.04752695502
762	0.04737926111
763	0.04730729824
764	0.04715711547
765	0.04706795855
766	0.0469970424
767	0.04690949045
768	0.04682967954
769	0.04673691726
770	0.04669208061
771	0.04655890116
772	0.04652586216
773	0.04642433539
774	0.04636341653
775	0.04625874961
776	0.04619021532
777	0.04605731499
778	0.04600462099
779	0.04587928493
780	0.0458190918
781	0.04578583415
782	0.04572738554
783	0.04569808216
784	0.04561105123
785	0.04550710539
786	0.04544256257
787	0.04538676564
788	0.04537983871
789	0.04533053142
790	0.04517983692
791	0.04510326385
792	0.04501948008
793	0.04498439417
794	0.04493901323
795	0.04492697367
796	0.04485213117
797	0.04480110727
798	0.04468726181
799	0.04461327995
800	0.04450235134
801	0.04436838569
802	0.04429542728
803	0.04424264489
804	0.04414459322
805	0.04405603176
806	0.04400781771
807	0.04396910784
808	0.04392591337
809	0.04387854599
810	0.04378879826
811	0.04372778637
812	0.0435967143
813	0.04350822728
814	0.04346609813
815	0.04337699704
816	0.04327050651
817	0.04314488202
818	0.04310509286
819	0.04306403369
820	0.04299484346
821	0.04296070657
822	0.04289004628
823	0.04281372442
824	0.04279440903
825	0.04265107876
826	0.04258628008
827	0.04254614667
828	0.04250589696
829	0.04244077264
830	0.04237685785
831	0.04226537565
832	0.04221846418
833	0.04207225427
834	0.04198867984
835	0.04189226569
836	0.04185616098
837	0.04180536503
838	0.04173553281
839	0.04165974129
840	0.04161252278
841	0.0415671651
842	0.04151468044
843	0.04138753007
844	0.04130349508
845	0.04124801915
846	0.0412222839
847	0.04120893711
848	0.04116358873
849	0.04105531646
850	0.04103139552
851	0.0409703371
852	0.040894941
853	0.04082895605
854	0.04074136687
855	0.04066340749
856	0.04065223787
857	0.04057558571
858	0.04051177792
859	0.0404357631
860	0.04037547693
861	0.04032421112
862	0.04027278249
863	0.04022316816
864	0.04018340692
865	0.04010642912
866	0.04006645854
867	0.04001654648
868	0.03994108991
869	0.0399010542
870	0.03983078933
871	0.03977803951
872	0.03968301168
873	0.03959906043
874	0.03953794154
875	0.03945720021
876	0.03939183863
877	0.03935889733
878	0.0392706336
879	0.03914863773
880	0.03912662878
