iter	Passed	Remaining
0	146	146479
1	148	74010
2	150	49853
3	151	37760
4	153	30569
5	155	25751
6	157	22282
7	158	19671
8	160	17647
9	161	16015
10	163	14677
11	164	13569
12	166	12623
13	167	11817
14	169	11154
15	171	10557
16	173	10024
17	175	9551
18	176	9123
19	178	8735
20	179	8387
21	181	8050
22	182	7760
23	184	7498
24	186	7268
25	188	7057
26	190	6848
27	191	6653
28	193	6471
29	194	6304
30	196	6148
31	198	5998
32	199	5860
33	202	5741
34	203	5622
35	205	5507
36	207	5396
37	208	5290
38	210	5186
39	212	5090
40	213	4999
41	215	4918
42	217	4837
43	218	4756
44	220	4679
45	222	4604
46	223	4536
47	225	4469
48	227	4407
49	228	4343
50	230	4281
51	231	4228
52	233	4173
53	235	4120
54	236	4070
55	238	4015
56	239	3969
57	241	3921
58	242	3875
59	244	3831
60	246	3790
61	248	3755
62	250	3721
63	251	3683
64	253	3651
65	255	3621
66	257	3591
67	260	3564
68	262	3539
69	264	3514
70	266	3486
71	268	3457
72	270	3432
73	272	3408
74	274	3382
75	276	3357
76	278	3336
77	280	3313
78	282	3289
79	284	3267
80	286	3247
81	288	3225
82	290	3207
83	292	3189
84	294	3172
85	296	3152
86	298	3132
87	300	3112
88	302	3093
89	303	3067
90	305	3049
91	307	3031
92	309	3020
93	311	3005
94	313	2989
95	315	2972
96	317	2958
97	319	2944
98	321	2929
99	323	2915
100	326	2903
101	328	2891
102	330	2877
103	332	2863
104	334	2849
105	336	2839
106	338	2826
107	340	2814
108	342	2801
109	344	2787
110	346	2775
111	348	2763
112	350	2751
113	352	2740
114	354	2728
115	356	2717
116	358	2704
117	360	2693
118	362	2681
119	364	2671
120	366	2660
121	368	2649
122	370	2641
123	372	2632
124	374	2621
125	376	2610
126	378	2598
127	379	2588
128	381	2578
129	383	2568
130	385	2558
131	388	2554
132	390	2547
133	392	2538
134	394	2528
135	396	2520
136	398	2511
137	400	2502
138	402	2494
139	404	2486
140	406	2478
141	408	2470
142	410	2461
143	413	2456
144	415	2449
145	417	2444
146	420	2439
147	422	2433
148	424	2427
149	426	2418
150	428	2409
151	430	2401
152	432	2395
153	435	2391
154	438	2388
155	440	2382
156	442	2376
157	445	2372
158	447	2366
159	449	2361
160	452	2355
161	454	2350
162	456	2345
163	459	2339
164	461	2333
165	463	2327
166	465	2321
167	467	2315
168	469	2310
169	471	2303
170	473	2296
171	475	2289
172	477	2283
173	479	2277
174	481	2271
175	483	2264
176	485	2258
177	487	2252
178	489	2245
179	491	2238
180	493	2232
181	495	2228
182	498	2223
183	500	2218
184	502	2212
185	503	2205
186	505	2199
187	507	2192
188	509	2186
189	511	2181
190	513	2176
191	515	2171
192	517	2164
193	519	2158
194	521	2152
195	523	2146
196	524	2139
197	526	2134
198	529	2129
199	530	2123
200	532	2117
201	534	2111
202	536	2105
203	537	2099
204	539	2092
205	541	2088
206	544	2085
207	546	2081
208	549	2078
209	551	2075
210	554	2071
211	556	2068
212	559	2066
213	561	2062
214	564	2060
215	566	2056
216	569	2053
217	571	2049
218	573	2046
219	576	2045
220	579	2042
221	581	2038
222	583	2034
223	586	2031
224	588	2028
225	591	2025
226	593	2022
